クラス名,種別
login.jsp,jsp
main.jsp,jsp
search.jsp,jsp
searchGanre.jsp,jsp
artist.jsp,jsp
playList.jsp,jsp
error.jsp,jsp
chat.jsp,jsp
userProfile.jsp,jsp
myLibrary.jsp,jsp
playView.jsp,jsp
artistView.jsp,jsp
playListView.jsp,jsp
FrontServlet.java,Servlet
AbstractCommand.java,command
CommandFactory.java,command
AddUsersComand.java,command
usersBean.java,bean
UsersDAO.java,DAO
AddCommentCommand.java,command
ListCommentCommand.java,command
UpdateCommentCommand.java,command
RemoveCommentCommand.java,command
playListReviewBean.java,bean
PlaylistReviewDAO.java,DAO
AddRelationCommand.java,command
ListRelationCommand.java,command
AcceptRelationCommand.java,command
CancelRelationCommand.java,command
relationBean.java,bean
RelationDAO.java,DAO
AddBlockUserCommand.java,command
ListBlockUserCommand.java,command
RemoveBlockUserCommand.java,command
blockBean.java,bean
BlockedUserDAO.java,DAO
AddMessageCommand.java,command
ListMessageCommand.java,command
UpdateMessageCommand.java,command
RemoveMessageCommand.java,command
messageBean.java,bean
MessageDAO.java,DAO
MySQLConnector.java,Class
GetAcessCodeCommand,command
GetTokenCommand,command
LoginCommand,command
LogoutCommand,command
spotifyUserBean,bean
SpotifyUserDAO,DAO
PlayListCommand,command
playListBean,bean
PlayListDAO,DAO
GenreCommand,command
genreBean,bean
GanreDAO,DAO
TrackCommand,command
trackBean,bean
TrackDAO,DAO
ArtistCommand,command
artistBean,bean
ArtistDAO,DAO
AlbumCommand,command
albumBean,bean
AlbumDAO,DAO
SearchCommand,command
getSpotifyDataCommand,command
SearchCommand,command
MyPageComand,command
LoginCheckFilter.java,filter
style.css,CSS
AWS,クラウド
command.properties,プロパティファイル
Utils,java
